E1: 	bien / entonces <ruido_fondo>roce constante con la mesa</ruido_fondo> estamos aquí en / en la maestría / ehh   hoy es cuatro / cinco de<alargamiento/>
I: 	 </simultáneo> /este<alargamiento/>sehh   sí a cocinar bueno a<alargamiento/> coser  / limpiar / todo / todo lo que es como dice / lo que hace una ama de casa / mami me enseñó demasiado / / y<alargamiento/> en realidad el<alargamiento/> ¿cómo se llama? / / este / / <lengua>maharete</lengua> / / ah bueno sí el <lengua>maharete</lengua> lo he hecho / la <lengua>jalea</lengua> /
E1: 	¡de mango! / ¿de mango? / ¿sí? / ¡guao! /
I: 	<simultáneo> uhu </simultáneo> / también ella me enseñó a prepararla / y una vez lo hice en la casa / / algunas veces que los muchachos me dicen <cita>mamá hazte un<alargamiento/></cita> bueno yo / es muy tradicional la / la gelatina / una tor <palabra_cortada/> / me / donde yo trabajé en un tiempo<alargamiento/> en una cocina<alargamiento/> que se llama / La Bocata / que queda por ahí por la Urdaneta /
E1: 	uhu /
I: 	hay me enseñaron a hacer el brazo gitano / lo que pasa es que / tengo tiempo que no lo hago / sabes no me he dedicado a hacerlo ahorita / siempre digo /
E2: 	 </simultáneo> /¿y lleva mucho trabajo?s/
I: 	no / es sencillo / siempre digo que lo voy a hacer y / se me presenta<alargamiento/> otra cosa / y entonces bueno / a la final no lo preparo /
E1: 	¿y sabe hacer el<alargamiento/>? / ¿la crema pastelera? / ¿sí? /
I: 	uhu / 
E1: 	qué bueno /
I: 	es rica / la crema pastelera / y es sencilla no es<alargamiento / > no / no lleva muchas cosas tampoco /
E1: 	¿y esa cocina qué? / ¿es un<alargamiento/> / un restaurante?  /
I: 	sí es un<alargamiento/> como dice / un <extranjero>restaurant</extranjero> de<alargamiento/> / / ay ¿cómo es que se llama eso de? / de comida rápida /
E1: 	umm / ¿se llama Bocata? /
I: 	La Bocata / sí / queda por ahí /
E1: 	 </simultáneo> /¿y qué hacen? / ¿<extranjero>sándwiches</extranjero> y eso? / ¿no?s/ 
I: 	ahí hacen <extranjero>sándwiches</sándwiches> / este / ahí también yo aprendí a<alargamiento/> / a hornear /
E1: 	ajá /
I: 	lo que pasa es que claro los muchachos no me dejaban que / que metiera las cosas porque eso era trabajo de ellos / 
E1: 	uhu /
I: 	pero sí <ruido= “golpe”> llevaban esos / esos <lengua>golfeados</lengua> /
E1: 	ajá /
I: 	que venden así y que le echan mucho caramelo y que tienen frutitas por encima / <tiempo=”45:00”/> 
E1: 	ajá / aha /
I: 	bueno / / ahí llevaban las cahas / yo las tenía que sacar / ponerlas en bandeja / / y después que ellas se / como dice se inflaran porque /
E1: 	 </simultáneo> /yas/
I: 	tenía que dejarse<alargamiento/> / de descongelarse / / le pasaba la<alargamiento/> / la brocha con / con huevo y<alargamiento/> calor /
E1: 	y quedaba así brillantico /
I: 	sí / quedaba así toda<alargamiento/> / y entonces después le pasaban / le / le bañaban / hacían un caramelo con papelón /
E1: 	uhu /
I: 	entonces / de <palabra_cortada/> después le pasábamos la brocha también / y bueno / pa’ afuera / vamos / pa’ venderse / y los pastelitos de<alargamiento/> de hojaldre / esos pastelitos de hojaldre /
E1: 	 </simultáneo> /¿y usted lo sabe hacer?s/
I: 	m<alargamiento/> la masa no /
E1: 	 </simultáneo> /yas/ 
I: 	m<alargamiento/> / aprendí fue a hornearlos /
E1: 	ya /
I: 	pa’ que quedaran con ese color así<alargamiento/> y crujiente /
E1: 	 </simultáneo> /¿y qué se le pone por encima?s/
I: 	huevo /
E2: 	huevo /
E1: 	¿es huevo? / ¿la clara solamente? /
I: 	uhu / no /
E1: 	¿todo? /
I: 	sí /
E1: 	uno bate un huevito
I: 	<simultáneo> aha</silmultáneo>
E1: 	y le pone así<alargamiento/> /
I: 	con una brocha / se lo pasas / lo mete al horno / y después bueno / pa’ afuera / y queda doradito / yo aprendí mucho en la / en / en / como dice en la cocina /
E1: 	ah pero que bueno / que bueno señora I de verdad que <risas=”I”/> <entre_risas>¡tengo hambre!<entre_risas> / <risas=” E1, I”/> le agradezco mucho / señora I / por habernos / ofrecido esta / 
I: 	 </simultáneo> /ay no se preocupes/
E1: 	esta entrevista / y bueno sepa que / que /
I: 	<entre_risas>espero que no le <sic>haiga</sic> quedado mal</entre_risas> <risas=”I”/>
E1: 	<entre_risas>no para nada / todo muy bien / gracias<entre_risas> / 
	<tiempo = "46:29"/> 

FIN
